invoice_no,issue_date,currency,fx_rate,seller_trn,seller_name,buyer_name,buyer_trn,buyer_country,buyer_emirate,buyer_type,txn_type_code,total_excl_vat,total_vat,total_incl_vat,line_no,description,qty,unit_price,line_amount,vat_category,vat_rate,vat_amount,line_amount_aed,vat_amount_aed
INV-2026-1010,2026-06-11,AED,,100321654900003,Sample Seller FZE,Ajman Foods Co,,AE,AJM,B2B,1000,26000.00,1300.00,27300.00,1,Reconciliation setup,4,6500.00,26000.00,S,5,1300.00,26000.00,1300.00
INV-2026-1011,2026-06-14,AED,,100321654900003,Sample Seller FZE,Blue Coast Cafe,,AE,AE-DU,B2C,1000,18000.00,900.00,18900.00,1,Data migration,2,9000.00,18000.00,S,5,900.00,18000.00,900.00
INV-2026-1012,2026-06-14,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,10500.00,525.00,11025.00,1,Monthly reporting pack,3,3500.00,10500.00,S,5,525.00,10500.00,525.00
INV-2026-1013,2026-06-16,AED,,100321654900003,Sample Seller FZE,Al Noor Trading LLC,100234567800003,AE,AE-DU,B2B,1000,24000.00,1200.00,25200.00,1,Power BI dashboard build,2,12000.00,24000.00,S,5,1200.00,24000.00,1200.00
INV-2026-1014,2026-06-14,AED,,100321654900003,Sample Seller FZE,Sharjah Textiles FZE,100987654300003,AE,AE-SH,B2B,1000,26000.00,1300.00,27300.00,1,Reconciliation setup,4,6500.00,26000.00,S,5,1300.00,26000.00,1300.00
INV-2026-1015,2026-06-16,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,Abu Dhabi,B2B,1000,57600.00,2880.00,60480.00,1,Data migration,2,9000.00,18000.00,S,5,900.00,18000.00,900.00
INV-2026-1015,2026-06-16,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,Abu Dhabi,B2B,1000,57600.00,2880.00,60480.00,2,Training session,2,1800.00,3600.00,S,5,180.00,3600.00,180.00
INV-2026-1015,2026-06-16,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,Abu Dhabi,B2B,1000,57600.00,2880.00,60480.00,3,Reconciliation setup,4,6500.00,26000.00,S,5,1300.00,26000.00,1300.00
INV-2026-1015,2026-06-16,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,Abu Dhabi,B2B,1000,57600.00,2880.00,60480.00,4,Consulting day,4,2500.00,10000.00,S,5,500.00,10000.00,500.00
INV-2026-1016,2026-06-17,AED,,100321654900003,Sample Seller FZE,Blue Coast Cafe,,AE,AE-DU,B2C,1000,17500.00,875.00,18375.00,1,Monthly reporting pack,5,3500.00,17500.00,S,5,875.00,17500.00,875.00
INV-2026-1017,2026-06-17,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,50250.00,2512.50,52762.50,1,Power BI dashboard build,4,12000.00,48000.00,S,5,2400.00,48000.00,2400.00
INV-2026-1017,2026-06-17,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,50250.00,2512.50,52762.50,2,Support hours,5,450.00,2250.00,S,5,112.50,2250.00,112.50
INV-2026-1018,2026-06-18,USD,3.6725,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,1000,51500.00,0.00,51500.00,1,Power BI dashboard build,4,12000.00,48000.00,Z,0,0.00,,
INV-2026-1018,2026-06-18,USD,3.6725,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,1000,51500.00,0.00,51500.00,2,Monthly reporting pack,1,3500.00,3500.00,Z,0,0.00,,
INV-2026-1019,2026-06-21,EUR,4.02351,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,1000,38000.00,0.00,38000.00,1,Consulting day,1,2500.00,2500.00,Z,0,0.00,10058.78,0.00
INV-2026-1019,2026-06-21,EUR,4.02351,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,1000,38000.00,0.00,38000.00,2,Consulting day,2,2500.00,5000.00,Z,0,0.00,20117.55,0.00
INV-2026-1019,2026-06-21,EUR,4.02351,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,1000,38000.00,0.00,38000.00,3,Data migration,2,9000.00,18000.00,Z,0,0.00,72423.18,0.00
INV-2026-1019,2026-06-21,EUR,4.02351,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,1000,38000.00,0.00,38000.00,4,Consulting day,5,2500.00,12500.00,Z,0,0.00,50293.88,0.00
INV-2026-1020,2026-06-22,AED,,100321654900003,Sample Seller FZE,Fujairah Logistics,100998877600003,AE,FUJ,B2B,1000,164500.00,8225.00,172725.00,1,Power BI dashboard build,5,12000.00,60000.00,S,5,3000.00,60000.00,3000.00
INV-2026-1020,2026-06-22,AED,,100321654900003,Sample Seller FZE,Fujairah Logistics,100998877600003,AE,FUJ,B2B,1000,164500.00,8225.00,172725.00,2,Reconciliation setup,5,6500.00,32500.00,S,5,1625.00,32500.00,1625.00
INV-2026-1020,2026-06-22,AED,,100321654900003,Sample Seller FZE,Fujairah Logistics,100998877600003,AE,FUJ,B2B,1000,164500.00,8225.00,172725.00,3,Power BI dashboard build,4,12000.00,48000.00,S,5,2400.00,48000.00,2400.00
INV-2026-1020,2026-06-22,AED,,100321654900003,Sample Seller FZE,Fujairah Logistics,100998877600003,AE,FUJ,B2B,1000,164500.00,8225.00,172725.00,4,Power BI dashboard build,2,12000.00,24000.00,S,5,1200.00,24000.00,1200.00
INV-2026-1021,2026-06-22,AED,,10032165490003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,63600.00,3180.00,66780.00,1,Training session,2,1800.00,3600.00,S,5,180.00,3600.00,180.00
INV-2026-1021,2026-06-22,AED,,10032165490003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,63600.00,3180.00,66780.00,2,Power BI dashboard build,5,12000.00,60000.00,S,5,3000.00,60000.00,3000.00
INV-2026-1022,2026-06-25,AED,,10032165490003,Sample Seller FZE,Ajman Foods Co,,AE,AJM,B2B,1000,30500.00,1525.00,32025.00,1,Data migration,1,9000.00,9000.00,S,5,450.00,9000.00,450.00
INV-2026-1022,2026-06-25,AED,,10032165490003,Sample Seller FZE,Ajman Foods Co,,AE,AJM,B2B,1000,30500.00,1525.00,32025.00,2,Reconciliation setup,1,6500.00,6500.00,S,5,325.00,6500.00,325.00
INV-2026-1022,2026-06-25,AED,,10032165490003,Sample Seller FZE,Ajman Foods Co,,AE,AJM,B2B,1000,30500.00,1525.00,32025.00,3,Consulting day,1,2500.00,2500.00,S,5,125.00,2500.00,125.00
INV-2026-1022,2026-06-25,AED,,10032165490003,Sample Seller FZE,Ajman Foods Co,,AE,AJM,B2B,1000,30500.00,1525.00,32025.00,4,Consulting day,5,2500.00,12500.00,S,5,625.00,12500.00,625.00
INV-2026-1023,2026-06-24,AED,,10032165490003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,53750.00,2687.50,56437.50,1,Monthly reporting pack,4,3500.00,14000.00,S,5,700.00,14000.00,700.00
INV-2026-1023,2026-06-24,AED,,10032165490003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,53750.00,2687.50,56437.50,2,Support hours,5,450.00,2250.00,S,5,112.50,2250.00,112.50
INV-2026-1023,2026-06-24,AED,,10032165490003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,53750.00,2687.50,56437.50,3,Reconciliation setup,3,6500.00,19500.00,S,5,975.00,19500.00,975.00
INV-2026-1023,2026-06-24,AED,,10032165490003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,53750.00,2687.50,56437.50,4,Data migration,2,9000.00,18000.00,S,5,900.00,18000.00,900.00
INV-2026-1024,2026-06-25,AED,,100321654900003,Sample Seller FZE,Sharjah Textiles FZE,100987654300003,AE,AE-SH,B2B,1000,41500.00,2075.00,43575.00,1,Reconciliation setup,5,6500.00,32500.00,S,5,1625.00,32500.00,1625.00
INV-2026-1024,2026-06-25,AED,,100321654900003,Sample Seller FZE,Sharjah Textiles FZE,100987654300003,AE,AE-SH,B2B,1000,41500.00,2075.00,43575.00,2,Training session,5,1800.00,9000.00,S,5,450.00,9000.00,450.00
INV-2026-1025,2026-06-27,USD,3.6725,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,1000,19500.00,0.00,19500.00,1,Power BI dashboard build,1,12000.00,12000.00,Z,0,0.00,44070.00,0.00
INV-2026-1025,2026-06-27,USD,3.6725,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,1000,19500.00,0.00,19500.00,2,Consulting day,3,2500.00,7500.00,Z,0,0.00,27543.75,0.00
INV-2026-1026,2026-06-29,AED,,100321654900003,Sample Seller FZE,Blue Coast Cafe,,AE,AE-DU,B2C,1000,38500.00,1925.00,40425.00,1,Consulting day,1,2500.00,2500.00,S,5,125.00,2500.00,125.00
INV-2026-1026,2026-06-29,AED,,100321654900003,Sample Seller FZE,Blue Coast Cafe,,AE,AE-DU,B2C,1000,38500.00,1925.00,40425.00,2,Power BI dashboard build,3,12000.00,36000.00,S,5,1800.00,36000.00,1800.00
INV-2026-1027,2026-06-28,AED,,100321654900003,Sample Seller FZE,Fujairah Logistics,100998877600003,AE,FUJ,B2B,1000,7000.00,350.00,7350.00,1,Monthly reporting pack,2,3500.00,7000.00,S,5,350.00,7000.00,350.00
INV-2026-1028,2026-06-29,EUR,4.02351,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,10000.00,0.00,10000.00,1,Consulting day,4,2500.00,10000.00,Z,0,0.00,40235.10,0.00
INV-2026-1029,2026-07-01,AED,,100321654900003,Sample Seller FZE,Fujairah Logistics,100998877600003,AE,FUJ,B2B,1000,12500.00,625.00,13125.00,1,Consulting day,5,2500.00,12500.00,S,5,625.00,12500.00,625.00
INV-2026-1030,2026-07-03,AED,,100321654900003,Sample Seller FZE,Sharjah Textiles FZE,100987654300003,AE,SHJ,B2B,1000,5400.00,270.00,5670.00,1,Training session,3,1800.00,5400.00,S,5,270.00,5400.00,270.00
INV-2026-1030,2026-07-02,AED,,100321654900003,Sample Seller FZE,Fujairah Logistics,100998877600003,AE,FUJ,B2B,1000,10000.00,500.00,10500.00,1,Consulting day,4,2500.00,10000.00,S,5,500.00,10000.00,500.00
INV-2026-1032,2026-07-02,EUR,4.02351,100321654900003,Sample Seller FZE,Mumbai Spice House,,IN,,B2B,1000,4850.00,0.00,4850.00,1,Support hours,3,450.00,1350.00,Z,0,0.00,5431.74,0.00
INV-2026-1032,2026-07-02,EUR,4.02351,100321654900003,Sample Seller FZE,Mumbai Spice House,,IN,,B2B,1000,4850.00,0.00,4850.00,2,Monthly reporting pack,1,3500.00,3500.00,Z,0,0.00,14082.28,0.00
INV-2026-1033,2026-07-06,USD,3.6725,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,1800.00,0.00,1800.00,1,Support hours,4,450.00,1800.00,Z,0,0.00,6610.50,0.00
INV-2026-1034,2026-07-07,USD,3.6725,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,STD,22300.00,0.00,22300.00,1,Data migration,1,9000.00,9000.00,Z,0,0.00,33052.50,0.00
INV-2026-1034,2026-07-07,USD,3.6725,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,STD,22300.00,0.00,22300.00,2,Data migration,1,9000.00,9000.00,Z,0,0.00,33052.50,0.00
INV-2026-1034,2026-07-07,USD,3.6725,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,STD,22300.00,0.00,22300.00,3,Consulting day,1,2500.00,2500.00,Z,0,0.00,9181.25,0.00
INV-2026-1034,2026-07-07,USD,3.6725,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,STD,22300.00,0.00,22300.00,4,Training session,1,1800.00,1800.00,Z,0,0.00,6610.50,0.00
INV-2026-1035,2026-07-08,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,,91000.00,4550.00,95550.00,1,Reconciliation setup,5,6500.00,32500.00,S,5,1625.00,32500.00,1625.00
INV-2026-1035,2026-07-08,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,,91000.00,4550.00,95550.00,2,Reconciliation setup,4,6500.00,26000.00,S,5,1300.00,26000.00,1300.00
INV-2026-1035,2026-07-08,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,,91000.00,4550.00,95550.00,3,Reconciliation setup,5,6500.00,32500.00,S,5,1625.00,32500.00,1625.00
INV-2026-1036,2026-07-06,AED,,100321654900003,Sample Seller FZE,Sharjah Textiles FZE,100987654300003,AE,SHJ,B2B,1000,27500.00,1375.00,28875.00,1,Data migration,1,9000.00,9000.00,S,5,450.00,9000.00,450.00
INV-2026-1036,2026-07-06,AED,,100321654900003,Sample Seller FZE,Sharjah Textiles FZE,100987654300003,AE,SHJ,B2B,1000,27500.00,1375.00,28875.00,2,Reconciliation setup,1,6500.00,6500.00,S,5,325.00,6500.00,325.00
INV-2026-1036,2026-07-06,AED,,100321654900003,Sample Seller FZE,Sharjah Textiles FZE,100987654300003,AE,SHJ,B2B,1000,27500.00,1375.00,28875.00,3,Power BI dashboard build,1,12000.00,12000.00,S,5,600.00,12000.00,600.00
INV-2026-1037,2026-07-10,SAR,0.979333,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,23500.00,0.00,23500.00,1,Consulting day,3,2500.00,7500.00,Z,0,0.00,7345.00,0.00
INV-2026-1037,2026-07-10,SAR,0.979333,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,23500.00,0.00,23500.00,2,Monthly reporting pack,2,3500.00,7000.00,Z,0,0.00,6855.33,0.00
INV-2026-1037,2026-07-10,SAR,0.979333,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,23500.00,0.00,23500.00,3,Training session,5,1800.00,9000.00,Z,0,0.00,8814.00,0.00
INV-2026-1038,2026-07-09,AED,,100321654900003,Sample Seller FZE,Ajman Foods Co,100112233400003,AE,AJM,B2B,1000,34200.00,1710.00,35910.00,1,Training session,4,1800.00,7200.00,S,5,360.00,7200.00,360.00
INV-2026-1038,2026-07-09,AED,,100321654900003,Sample Seller FZE,Ajman Foods Co,100112233400003,AE,AJM,B2B,1000,34200.00,1710.00,35910.00,2,Reconciliation setup,2,6500.00,13000.00,S,5,650.00,13000.00,650.00
INV-2026-1038,2026-07-09,AED,,100321654900003,Sample Seller FZE,Ajman Foods Co,100112233400003,AE,AJM,B2B,1000,34200.00,1710.00,35910.00,3,Monthly reporting pack,4,3500.00,14000.00,S,5,700.00,14000.00,700.00
INV-2026-1039,2026-07-10,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,115900.00,5795.00,121695.00,1,Support hours,2,450.00,900.00,S,5,45.00,900.00,45.00
INV-2026-1039,2026-07-10,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,115900.00,5795.00,121695.00,2,Power BI dashboard build,4,12000.00,48000.00,S,5,2400.00,48000.00,2400.00
INV-2026-1039,2026-07-10,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,115900.00,5795.00,121695.00,3,Power BI dashboard build,5,12000.00,60000.00,S,5,3000.00,60000.00,3000.00
INV-2026-1039,2026-07-10,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,115900.00,5795.00,121695.00,4,Monthly reporting pack,2,3500.00,7000.00,S,5,350.00,7000.00,350.00
INV-2026-1040,2026-07-11,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,22300.00,1115.00,23415.00,1,Monthly reporting pack,1,3500.00,3500.00,S,5,175.00,3500.00,175.00
INV-2026-1040,2026-07-11,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,22300.00,1115.00,23415.00,2,Training session,1,1800.00,1800.00,S,5,90.00,1800.00,90.00
INV-2026-1040,2026-07-11,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,22300.00,1115.00,23415.00,3,Monthly reporting pack,2,3500.00,7000.00,S,5,350.00,7000.00,350.00
INV-2026-1040,2026-07-11,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,22300.00,1115.00,23415.00,4,Consulting day,4,2500.00,10000.00,S,5,500.00,10000.00,500.00
INV-2026-1041,2026-07-12,EUR,4.02351,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,80500.00,0.00,80500.00,1,Reconciliation setup,5,6500.00,32500.00,Z,0,0.37,130764.08,0.00
INV-2026-1041,2026-07-12,EUR,4.02351,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,80500.00,0.00,80500.00,2,Reconciliation setup,3,6500.00,19500.00,Z,0,0.00,78458.44,0.00
INV-2026-1041,2026-07-12,EUR,4.02351,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,80500.00,0.00,80500.00,3,Training session,5,1800.00,9000.00,Z,0,0.00,36211.59,0.00
INV-2026-1041,2026-07-12,EUR,4.02351,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,80500.00,0.00,80500.00,4,Reconciliation setup,3,6500.00,19500.00,Z,0,0.00,78458.44,0.00
INV-2026-1042,2026-07-12,AED,,100321654900003,Sample Seller FZE,Sharjah Textiles FZE,100987654300003,AE,SHJ,B2B,1000,36750.00,1837.50,38587.50,1,Support hours,5,450.00,2000.00,S,5,112.50,2250.00,112.50
INV-2026-1042,2026-07-12,AED,,100321654900003,Sample Seller FZE,Sharjah Textiles FZE,100987654300003,AE,SHJ,B2B,1000,36750.00,1837.50,38587.50,2,Consulting day,3,2500.00,7500.00,S,5,375.00,7500.00,375.00
INV-2026-1042,2026-07-12,AED,,100321654900003,Sample Seller FZE,Sharjah Textiles FZE,100987654300003,AE,SHJ,B2B,1000,36750.00,1837.50,38587.50,3,Data migration,3,9000.00,27000.00,S,5,1350.00,27000.00,1350.00
INV-2026-1043,2026-07-13,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,38000.00,1900.00,39900.00,1,Reconciliation setup,4,6500.00,26000.00,S,5,1300.00,26000.00,1300.00
INV-2026-1043,2026-07-13,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,38000.00,1900.00,39900.00,2,Power BI dashboard build,1,12000.00,12000.00,S,5,600.00,12000.00,600.00
INV-2026-1044,2026-07-15,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,2250.00,112.50,2362.50,1,Support hours,1,450.00,450.00,S,5,22.50,450.00,22.50
INV-2026-1044,2026-07-15,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,2250.00,112.50,2362.50,2,Training session,1,1800.00,1800.00,S,5,90.00,1800.00,90.00
INV-2026-1045,2026-07-17,USD,3.6725,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,3600.00,0.00,3600.00,1,Training session,2,1800.00,3600.00,Z,0,0.00,13221.00,0.00
INV-2026-1046,2026-07-19,AED,,100321654900003,Sample Seller FZE,Ajman Foods Co,100112233400003,AE,AJM,B2B,1000,22900.00,1140.00,23940.00,1,Power BI dashboard build,1,12000.00,12000.00,S,5,600.00,12000.00,600.00
INV-2026-1046,2026-07-19,AED,,100321654900003,Sample Seller FZE,Ajman Foods Co,100112233400003,AE,AJM,B2B,1000,22900.00,1140.00,23940.00,2,Support hours,4,450.00,1800.00,S,5,90.00,1800.00,90.00
INV-2026-1046,2026-07-19,AED,,100321654900003,Sample Seller FZE,Ajman Foods Co,100112233400003,AE,AJM,B2B,1000,22900.00,1140.00,23940.00,3,Data migration,1,9000.00,9000.00,S,5,450.00,9000.00,450.00
INV-2026-1047,2026-07-18,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,91350.00,4567.50,95917.50,1,Support hours,3,450.00,1350.00,S,5,67.50,1350.00,67.50
INV-2026-1047,2026-07-18,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,91350.00,4567.50,95917.50,2,Data migration,5,9000.00,45000.00,S,5,2250.00,45000.00,2250.00
INV-2026-1047,2026-07-18,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,91350.00,4567.50,95917.50,3,Data migration,5,9000.00,45000.00,S,5,2250.00,45000.00,2250.00
INV-2026-1048,2026-07-21,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,17200.00,860.00,18060.00,1,Consulting day,4,2500.00,10000.00,S,5,500.00,10000.00,500.00
INV-2026-1048,2026-07-21,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,17200.00,860.00,18060.00,2,Training session,4,1800.00,7200.00,S,5,360.00,7200.00,360.00
INV-2026-1049,2026-07-22,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,90850.00,4542.50,95392.50,1,Power BI dashboard build,1,12000.00,12000.00,S,5,600.00,12000.00,600.00
INV-2026-1049,2026-07-22,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,90850.00,4542.50,95392.50,2,Reconciliation setup,5,6500.00,32500.00,S,5,1625.00,32500.00,1625.00
INV-2026-1049,2026-07-22,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,90850.00,4542.50,95392.50,3,Data migration,5,9000.00,45000.00,S,5,2250.00,45000.00,2250.00
INV-2026-1049,2026-07-22,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,AUH,B2B,1000,90850.00,4542.50,95392.50,4,Support hours,3,450.00,1350.00,S,5,67.50,1350.00,67.50
INV-2026-1050,2026-07-21,EUR,4.02351,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,1800.00,0.00,1800.00,1,Training session,1,1800.00,1800.00,Z,0,0.00,7242.32,0.00
